18	Arctic Sea	Mer Arctique	Mar Ártico
21.5	Atlantic, Northwest / 21.5	Atl NW / 21.5	Atl NW / 21.5
21.5.Y	Atlantic, Northwest / 21.5.Y	Atl NW / 21.5.Y	Atl NW / 21.5.Y
21.5.Z	Atlantic, Northwest / 21.5.Z	Atl NW / 21.5.Z	Atl NW / 21.5.Z
21.5.Z.c	Atlantic, Northwest / 21.5.Z.c	Atl NW / 21.5.Z.c	Atl NW / 21.5.Z.c
21.5.Z.e	Atlantic, Northwest / 21.5.Z.e	Atl NW / 21.5.Z.e	Atl NW / 21.5.Z.e
21.5.Z.u	Atlantic, Northwest / 21.5.Z.u	Atl NW / 21.5.Z.u	Atl NW / 21.5.Z.u
21.5.Z.w	Atlantic, Northwest / 21.5.Z.w	Atl NW / 21.5.Z.w	Atl NW / 21.5.Z.w
21.6	Atlantic, Northwest / 21.6	Atl NW / 21.6	Atl NW / 21.6
21.6.A	Atlantic, Northwest / 21.6.A	Atl NW / 21.6.A	Atl NW / 21.6.A
21.6.B	Atlantic, Northwest / 21.6.B	Atl NW / 21.6.B	Atl NW / 21.6.B
21.6.C	Atlantic, Northwest / 21.6.C	Atl NW / 21.6.C	Atl NW / 21.6.C
21.6.D	Atlantic, Northwest / 21.6.D	Atl NW / 21.6.D	Atl NW / 21.6.D
21.6.E	Atlantic, Northwest / 21.6.E	Atl NW / 21.6.E	Atl NW / 21.6.E
21.6.F	Atlantic, Northwest / 21.6.F	Atl NW / 21.6.F	Atl NW / 21.6.F
21.6.G	Atlantic, Northwest / 21.6.G	Atl NW / 21.6.G	Atl NW / 21.6.G
21.6.H	Atlantic, Northwest / 21.6.H	Atl NW / 21.6.H	Atl NW / 21.6.H
27	Atlantic, Northeast	Atlantique, nord-est	Atlántico, nordeste
27.1	Barents Sea (Subarea 27.1)	Mer de Barents (Sous-zone 27.1)	Mar de Barents (Subárea 27.1)
27.1.a	Barents Sea - NEAFC Regulatory Area (Division 27.1.a)	Mer de Barents - CPANE (Division 27.1.a)	Mar de Barents - CPANE (División 27.1.a)
27.1.b	Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b)	Mer de Barents - non-CPANE (Division  27.1.b)	Mar de Barents - Non-CPANE (División  27.1.b)
27.10	Azores Grounds and Northeast Atlantic South (Subarea  27.10)	Fonds des Açores et Atlantique nord-est du sud (Sous-zone 27.10)	Fondos de las Azores y Atlántico nordeste del sur (Subárea 27.10)
27.10.a	Azores Grounds (Division 27.10.a)	Fonds des Açores (Division 27.10.a)	Fondos de las Azores (División  27.10.a)
27.10.a.1	Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1)	Fonds des Açores - Partie de CPANE (Sous-division 27.10.a.1)	Fondos de las Azores - Parte de CPANE (Subdivisión 27.10.a.1)
27.10.a.2	Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2)	Fonds des Açores - Partie de non-CPANE (Sous-division 27.10.a.2)	Fondos de las Azores - Non-CPANE (Subdivisión 27.10.a.2)
27.10.b	Northeast Atlantic South (Division 27.10.b)	Fonds des Açores (Division 27.10.b)	Fondos de las Azores (División 27.10.b)
27.12	North of Azores (Subarea 27.12)	Nord des Açores (Sous-zone 27.12)	Norte de las Azores (Subárea 27.12)
27.12.a	Southern mid-Atlantic Ridge (Division 27.12.a)	Nord des Açores (Division 27.12.a)	Norte de las Azores (División 27.12.a)
27.12.a.1	Subdivision 27.12.a.1 - NEAFC Regulatory Area	Subdivision 27.12.a.1 - CPANE	Subdivisión 27.12.a.1 - CPANE
27.12.a.2	Subdivision 27.12.a.2 - NEAFC Regulatory Area	Subdivision 27.12.a.2 - CPANE	Subdivisión 27.12.a.2 - CPANE
27.12.a.3	Subdivision 27.12.a.3 Non-NEAFC Regulatory Area	Subdivision 27.12.a.3 non-CPANE	Subdivisión 27.12.a.3 - Non-CPANE
27.12.a.4	Subdivision 27.12.a.4 Non-NEAFC Regulatory Area	Subdivision 27.12.a.4  non-CPANE	Subdivisión 27.12.a.4 - Non-CPANE
27.12.b	Western Hatton Bank (Division 27.12.b)	Nord des Açores (Division 27.12.b)	Norte de las Azores (División 27.12.b)
27.12.c	Central Northeast Atlantic - South (Division 27.12.c)	Nord des Açores (Division 27.12.c)	Norte de las Azores (División 27.12.c)
27.14	East Greenland (Subarea 27.14)	Groenland est (Sous-zone 27.14)	Groenlandia oriental (Subárea 27.14)
27.14.a	Northeast Greenland (Division 27.14.a)	Groenland nord-est (Division 27.14.a)	Groenlandia nordoriental (División 27.14.a)
27.14.b	Southeast Greenland (Division 27.14.b)	Groenland sud-est (Division 27.14.b)	Groenlandia sudoriental (División 27.14.b)
27.14.b.1	Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1)	Groenland sud-est - Partie de CPANE (Sous-division 27.14.b.1)	Groenlandia sudoriental - Partes de CPANE (Subdivisión 27.14.b.1)
27.14.b.2	Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2)	Groenland sud-est - Partie de non-CPANE (Sous-division 27.14.b.2)	Groenlandia sudoriental Non-CPANE (Subdivisión 27.14.b.2)
27.2	Norwegian Sea, Spitzbergen, and Bear Island (Subarea 27.2)	Mer de Norvège, Spitzberg et île aux Ours (Sous-zone 27.2)	Mar de Noruega, Spitzbergen e Islas Osos (Subárea 27.2)
27.2.a	Norwegian Sea (Division 27.2.a)	Mer de Norvège (Division 27.2.a)	Mar de Noruega (División 27.2.a)
27.2.a.1	Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1)	Mer de Norvège - CPANE (Division 27.2.a.1)	Mar de Noruega - CPANE (División 27.2.a.1)
27.2.a.2	Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2)	Mer de Norvège - non-CPANE (Division 27.2.a.2)	Mar de Noruega Non-CPANE (División 27.2.a.2)
27.2.b	Spitzbergen and Bear Island (Division 27.2.b)	Spitzberg et île aux Ours (Division 27.2.b)	Spitzbergen e Islas Osos (División 27.2.b)
27.2.b.1	Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1)	Spitzberg et île aux Ours - CPANE (Division 27.2.b.1)	Spitzbergen e Islas Osos - CPANE (División 27.2.b.1)
27.2.b.2	Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2)	Spitzberg et île aux Ours - non-CPANE (Division 27.2.b.2)	Spitzbergen e Islas Osos Non-CPANE (División 27.2.b.2)
27.3	Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea (Subarea 27.3)	Skagerrak, Cattégat, Sund, Mer des Belts, Mer Baltique (Sous-zone 27.3)	Skagerrak, Kattegat, Sund,  Mar de Belt y Mar Báltico (Subárea 27.3)
27.3.a	Skagerrak and Kattegat (Division 27.3.a)	Skagerrak et Cattégat (Division 27.3.a)	Skagerrak, Kattegat (División 27.3.a)
27.3.a.20	Skagerrak (Subdivision 27.3.a.20)	Skagerrak (Subdivision 27.3.a.20)	Skagerrak (Subdivisión 27.3.a.20)
27.3.a.21	Kattegat (Subdivision 27.3.a.21)	Kattegat (Subdivision 27.3.a.21)	Kattegat (Subdivisión 27.3.a.21)
27.3.b.23	Sound (Subdivision 27.3.b.23)	Øresund (Sous-division 27.3.b.23)	Sund (Subdivisión 27.3.b.23)
27.3.c.22	Belt Sea (Subdivision 27.3.c.22)	Mer des Belts (Sous-division 27.3.c.22)	Mar de Belt (Subdivisión 27.3.c.22)
27.3.d	Baltic Sea (Division 27.3.d)	Mer Baltique (Division 27.3.d)	Mar Báltico (División 27.3.d)
27.3.d.24	Baltic West of Bornholm (Subdivision 27.3.d.24)	Baltique, ouest de Bornholm (Sous-division 27.3.d.24)	Báltico al oeste de Bornholm (Subdivisión 27.3.d.24)
27.3.d.25	Southern Central Baltic - West (Subdivision 27.3.d.25)	Baltique centre-sud - Ouest (Sous-division 27.3.d.25)	Báltico centro-meridional - Oeste (Subdivisión 27.3.d.25)
27.3.d.26	Southern Central Baltic - East (Subdivision 27.3.d.26)	Baltique centre-sud - Est (Sous-division 27.3.d.26)	Báltico centro-meridional - Este (Subdivisión 27.3.d.26)
27.3.d.27	West of Gotland (Subdivision 27.3.d.27)	Ouest de Gotland (Sous-division 27.3.d.27)	Oeste de Gotland (Subdivisión 27.3.d.27)
27.3.d.28	East of Gotland or Gulf of Riga (Subdivision 27.3.d.28)	Est de Gotland ou Golfe de Riga (Sous-division 27.3.d.28)	Este de Gotland o Golfo de Riga (Subdivisión 27.3.d.28)
27.3.d.28.1	Gulf of Riga (Unit 27.3.d.28.1)	Golfe de Riga (Unité 27.3.d.28.1)	Golfo de Riga (Unidad 27.3.d.28.1)
27.3.d.28.2	East of Gotland (Open Sea) (Unit 27.3.d.28.2)	Est de Gotland (Haute mer) (Unité 27.3.d.28.2)	Este de Gotland (Mar abierto) (Unidad 27.3.d.28.2)
27.3.d.29	Archipelago Sea (Subdivision 27.3.d.29)	Mer de l'Archipel (Sous-division 27.3.d.29)	Mar Archipiélago (Subdivisión 27.3.d.29)
27.3.d.30	Bothnian Sea (Subdivision 27.3.d.30)	Baie de Botnie méridionale (Sous-division 27.3.d.30)	Golfo de Botnia meridional (Subdivisión 27.3.d.30)
27.3.d.31	Bothnian Bay (Subdivision 27.3.d.31)	Baie de Botnie septentrionale (Sous-division 27.3.d.31)	Golfo de Botnia meridional (Subdivisión 27.3.d.31)
27.3.d.32	Gulf of Finland (Subdivision 27.3.d.32)	Golfe de Finlande (Sous-division 27.3.d.32)	Golfo de Finlandia (Subdivisión 27.3.d.32)
27.4	North Sea (Subarea 27.4)	Mer du Nord (Sous-zone 27.4)	Mar del Norte (Subárea 27.4)
27.4.a	Northern North Sea (Division 27.4.a)	Mer du Nord septentrionale (Division 27.4.a)	Mar del Norte septentrional (División 27.4.a)
27.4.b	Central North Sea (Division 27.4.b)	Mer du Nord centrale (Division 27.4.b)	Mar del Norte central (División 27.4.b)
27.4.c	Southern North Sea (Division 27.4.c)	Mer du Nord méridionale (Division 27.4.c)	Mar del Norte meridional (División 27.4.c)
27.5	Iceland and Faroes Grounds (Subarea 27.5)	Fonds d'Islande et des Féroé (Sous-zone 27.5)	Fondos de Islandia y de las Feroe (Subárea 27.5)
27.5.a	Iceland Grounds (Division 27.5.a)	Fonds de l'Islande (Division 27.5.a)	Fondos de Islandia (División 27.5.a)
27.5.a.1	Northern Reykjanes Ridge (Subdivision 27.5.a.1)	Fonds de l'Islande (Sous-division 27.5.a.1)	Fondos de Islandia (Subdivisión 27.5.a.1)
27.5.a.2	Icelandic Shelf (Subdivision 27.5.a.2)	Fonds de l'Islande (Sous-division 27.5.a.2)	Fondos de Islandia (Subdivisión 27.5.a.2)
27.5.b	Faroes Grounds (Division 27.5.b)	Fonds des Féroé (Division 27.5.b)	Fondos de las Feroe (División 27.5.b)
27.5.b.1	Faroe Plateau (Subdivision 27.5.b.1)	Plateau des Féroé (Sous-division 27.5.b.1)	Planicie de las Feroe (Subdivisión 27.5.b.1)
27.5.b.1.a	Faroe Plateau - Part of NEAFC Regulatory Area (Unit 27.5.b.1.a)	Plateau des Féroé - Partie de CPANE (Unité 27.5.b.1.a)	Planicie de las Feroe - Parte de CPANE (Unidad 27.5.b.1.a)
27.5.b.1.b	Faroe Plateau - Part of Non-NEAFC Regulatory Area (Unit 27.5.b.1.b)	Plateau des Féroé - Partie de non-CPANE (Unité 27.5.b.1.b)	Planicie de las Feroe Non-CPANE (Unidad 27.5.b.1.b)
27.5.b.2	Faroe Bank (Subdivision 27.5.b.2)	Banc des Féroé (Sous-division 27.5.b.2)	Banco de las Feroe (Subdivisión 27.5.b.2)
27.6	Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6)	Rockall, Côte Nord-Ouest de l'Ecosse et Irlande du Nord (Sous-zone 27.6)	Rockall, costa nord-occidental de Escocia e Irlanda del Norte (Subárea 27.6)
27.6.a	Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a)	Côte Nord-Ouest de l'Ecosse et Irlande du Nord ou comme Ouest de l'Ecosse (Division 27.6.a)	Costa nord-occidental de Escocia e Irlanda del Norte o el Oeste de Escocia (División 27.6.a)
27.6.b	Rockall (Division 27.6.b)	Rockall (Division 27.6.b)	Rockall (División 27.6.b)
27.6.b.1	Rockall - Part of NEAFC area I (Subdivision 27.6.b.1)	Rockall - Partie de CPANE (Sous-division 27.6.b.1)	Rockall - Parte de CPANE (Subdivisión 27.6.b.1)
27.6.b.2	Rockall Non-NEAFC area (Subdivision 27.6.b.2)	Rockall - Partie de non-CPANE (Sous-division 27.6.b.2)	Rockall Non-CPANE (Subdivisión 27.6.b.2)
27.7	Irish Sea, West of Ireland, Porcupine Bank, Eastern and Western English Channel, etc (Subarea 27.7)	Mer d'Irlande, Ouest de l'Irlande, Banc de Porcupine, Manche, etc. (Sous-zone 27.7)	Mar de Irlanda, Oeste de Irlanda, Porcupine Bank, Canal de La Mancha, etc. (Subárea 27.7)
27.7.a	Irish Sea (Division 27.7.a)	Mer d'Irlande (Division 27.7.a)	Mar de Irlanda (División 27.7.a)
27.7.b	West of Ireland (Division 27.7.b)	Ouest de l'Irlande (Division 27.7.b)	Oeste de Irlanda (División 27.7.b)
27.7.c	Porcupine Bank (Division 27.7.c)	Banc de Porcupine (Division 27.7.c)	Porcupine Bank (División 27.7.c)
27.7.c.1	Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1)	Banc de Porcupine - CPANE (Sous-division 27.7.c.1)	Porcupine Bank - CPANE (Subdivisión 27.7.c.1)
27.7.c.2	Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2)	Banc de Porcupine - non-CPANE (Sous-division 27.7.c.2)	Porcupine Bank Non-CPANE (Subdivisión 27.7.c.2)
27.7.d	Eastern English Channel (Division 27.7.d)	Manche orientale (Division 27.7.d)	Canal de la Mancha oriental (División 27.7.d)
27.7.e	Western English Channel (Division 27.7.e)	Manche occidentale (Division 27.7.e)	Canal de la Mancha occidental (División 27.7.e)
27.7.f	Bristol Channel (Division 27.7.f)	Canal de Bristol (Division 27.7.f)	Canal de Bristol (División 27.7.f)
27.7.g	Celtic Sea North (Division 27.7.g)	Mer Celtique du nord (Division 27.7.g)	Mar Céltico norte (División 27.7.g)
27.7.h	Celtic Sea South (Division 27.7.h)	Mer Celtique du sud (Division 27.7.h)	Mar Céltico sur (División 27.7.h)
27.7.j	Southwest of Ireland - East (Division 27.7.j)	Sud-ouest de l'Irlande - Est (Division 27.7.j)	Sudoeste de Irlanda - Este (División 27.7.j)
27.7.j.1	Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1)	Sud-ouest de l'Irlande - Est - Partie de CPANE (Sous-division 27.7.j.1)	Sudoeste de Irlanda - Este - Parte de CPANE (Subdivisión 27.7.j.1)
27.7.j.2	Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2)	Sud-ouest de l'Irlande - Est - Partie de non-CPANE (Sous-division 27.7.j.2)	Sudoeste de Irlanda - Este Non-CPANE (Subdivisión 27.7.j.2)
27.7.k	Southwest of Ireland - West (Division 27.7.k)	Sud-ouest de l'Irlande - Ouest (Division 27.7.k)	Sudoeste de Irlanda - Oeste (División 27.7.k)
27.7.k.1	Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1)	Sud-ouest de l'Irlande - Ouest - Partie de CPANE (Sous-division 27.7.k.1)	Sudoeste de Irlanda - Oeste - Parte de CPANE (Subdivisión 27.7.k.1)
27.7.k.2	Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2)	Sud-ouest de l'Irlande - Ouest - Partie de non-CPANE (Sous-division 27.7.k.2)	Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2)
27.8	Bay of Biscay (Subarea 27.8)	Golfe de Gascogne (Sous-zone 27.8)	Golfo de Vizcaya (Subárea 27.8)
27.8.a	Bay of Biscay - North (Division 27.8.a)	Golfe de Gascogne - Nord (Division 27.8.a)	Golfo de Vizcaya - norte (División 27.8.a)
27.8.b	Bay of Biscay - Central (Division 27.8.b)	Golfe de Gascogne - Central (Division 27.8.b)	Golfo de Vizcaya - centro (División 27.8.b)
27.8.c	Bay of Biscay - South (Division 27.8.c)	Golfe de Gascogne - Sud (Division 27.8.c)	Golfo de Vizcaya - sur (División 27.8.c)
27.8.d	Bay of Biscay - Offshore (Division 27.8.d)	Golfe de Gascogne - Large (Division 27.8.d)	Golfo de Vizcaya - alta mar (División 27.8.d)
27.8.d.1	Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1)	Golfe de Gascogne - Large - Partie de CPANE (Sous-division 27.8.d.1)	Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1)
27.8.d.2	Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2)	Golfe de Gascogne - Large - Partie de non-CPANE (Sous-division 27.8.d.2)	Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2)
27.8.e	West of Bay of Biscay (Division 27.8.e)	Ouest du golfe de Gascogne (Division 27.8.e)	Oeste del Golfo de Vizcaya (División 27.8.e)
27.8.e.1	West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1)	Ouest du golfe de Gascogne - Partie de CPANE (Sous-division 27.8.e.1)	Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1)
27.8.e.2	West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2)	Ouest du golfe de Gascogne - Partie de non-CPANE (Sous-division 27.8.e.2)	Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2)
27.9	Portuguese Waters (Subarea 27.9)	Eaux portugaises (Sous-zone 27.9)	Aguas Portuguesas (Subárea 27.9)
27.9.a	Portuguese Waters - East (Division 27.9.a)	Eaux portugaises - Est (Division 27.9.a)	Aguas Portuguesas - este (División 27.9.a)
27.9.b	Portuguese Waters - West (Division 27.9.b)	Eaux portugaises - Ouest (Division 27.9.b)	Aguas Portuguesas - oeste (División 27.9.b)
27.9.b.1	Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1)	Eaux portugaises - Ouest - Partie de CPANE (Sous-division 27.9.b.1)	Aguas Portuguesas - oeste - Partes de CPANE (Subdivisión 27.9.b.1)
27.9.b.2	Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2)	Eaux portugaises - Ouest - Partie de non-CPANE (Sous-division 27.9.b.2)	Aguas Portuguesas - oeste Non-CPANE (Subdivisión 27.9.b.2)
31	Atlantic, Western Central	Atlantique, centre-ouest	Atlántico, centro-occidental
31.1	USA Atlantic Coast		
31.2	Gulf of Mexico		
31.2.1	Northern Gulf of Mexico		
31.2.2	Southern Gulf of Mexico		
31.2.3	Gulf of Mexico high-seas western triangle		
31.2.4	Gulf of Mexico high-seas eastern triangle		
31.3	West Indies		
31.3.1	Lesser Antilles		
31.3.2	Greater Antilles - Lucayan Archipelago, North Hispaniola / Puerto Rico		
31.3.3	Greater Antilles - Caribbean Sea		
31.3.4	Greater Antilles - North-western Cuba		
31.4	Main High-seas / Bermuda		
31.4.1	High-seas / Southern Central Atlantic		
31.4.2	High-seas / Central Atlantic		
31.4.3	High-seas / Western Central Atlantic		
31.4.4	Bermuda		
31.5	Trinidad - Guyana - Suriname - Brazil		
31.6	Venezuela - Netherlands Antilles		
31.6.1	Gulf of Venezuela		
31.6.2	Netherlands Antilles		
31.6.3	Lake Maracaibo		
31.7	Southwestern Caribbean		
31.7.1	Colombia		
31.7.2	Panama - Costa Rica		
31.7.3	Nicaragua		
31.7.4	Honduras		
31.8	Gulf of Honduras		
34	Atlantic, Eastern Central	Atlantique, centre-est	Atlántico, centro-oriental
34.1	Northern coastal subarea	Sous-zone côtière nord	Subárea costera norte
34.1.1	Morocco coastal	Côtière du Maroc	Costera de Marruecos
34.1.11	Atlantic, East central / 34.1.11	Atl EC / 34.1.1.1	Atl EC / 34.1.11
34.1.12	Atlantic, East central / 34.1.12	Atl EC / 34.1.1.2	Atl EC / 34.1.12
34.1.13	Atlantic, East central / 34.1.13	Atl EC / 34.1.1.3	Atl EC / 34.1.13
34.1.2	Canaries/Madeira insular	Insulaire des Canaries/Madère	Insular de Canarias/Madera
34.1.3	Sahara coastal	Côtière du Sahara	Costera del Sahara
34.1.31	Atlantic, East central / 34.1.31	Atl EC / 34.1.3.1	Atl EC / 34.1.31
34.1.32	Atlantic, East central / 34.1.32	Atl EC / 34.1.3.2	Atl EC / 34.1.32
34.2	Northern oceanic subarea	Sous-zone océanique nord	Subárea oceánica norte
34.3	Southern coastal subarea	Sous-zone côtière sud	Subárea costera sur
34.3.1	Cape Verde coastal	Côtière du Cap-Vert	Costera de Cabo Verde
34.3.11	Atlantic, East central / 34.3.11	Atl EC / 34.3.1.1	Atl EC / 34.3.11
34.3.12	Atlantic, East central / 34.3.12	Atl EC / 34.3.1.2	Atl EC / 34.3.12
34.3.13	Atlantic, East central / 34.3.13	Atl EC / 34.3.1.3	Atl EC / 34.3.13
34.3.2	Cape Verde insular	Insulaire du Cap-Vert	Insular de Cabo Verde
34.3.3	Sherbro	Sherbro	Sherbro
34.3.4	Western Gulf of Guinea	Golfe de Guinée, ouest	Golfo de Guinea occidental
34.3.5	Central Gulf of Guinea	Golfe de Guinée, centre	Golfo de Guinea central
34.3.6	Southern Gulf of Guinea	Golfe de Guinée, sud	Golfo de Guinea meridional
34.4	Southern oceanic subarea	Sous-zone océanique sud	Subárea oceánica sur
34.4.1	Southwest Gulf of Guinea	Golfe de Guinée, sud-ouest	Golfo de Guinea sudoccidental
34.4.2	Southwest oceanic	Océanique, sud-ouest	Oceánica sudoccidental
37	Mediterranean and Black Sea	Méditerranée et mer Noire	Mediterráneo y Mar Negro
37.1	Western subarea	Sous-zone occidentale	Subárea occidental
37.1.1	Balearic	Baléares	Baleares
37.1.2	Gulf of Lion	Golfe du Lion	Golfo de León
37.1.3	Sardinia	Sardaigne	Cerdeña
37.2	Central subarea	Sous-zone centrale	Subárea central
37.2.1	Adriatic	Adriatique	Adriático
37.2.2	Ionian	Ionienne	Jónio
37.3	Eastern subarea	Sous-zone orientale	Subárea oriental
37.3.1	Aegean	Égée	Egeo
37.3.2	Levant	Levant	Levante
37.4	Black Sea subarea	Sous-zone mer Noire	Subárea mar Negro
37.4.1	Marmara Sea	Mer de Marmara	Mar de Mármara
37.4.2	Black Sea	Mer Noire	Mar Negro
37.4.3	Azov Sea	Mer d'Azov	Mar de Azov
41	Atlantic, Southwest	Atlantique, sud-ouest	Atlántico, sudoccidental
41.1	Atlantic, Southwest / 41.1	Atl SW / 41.1	Atl SW / 41.1
41.1.1	Atlantic, Southwest / 41.1.1	Atl SW / 41.1.1	Atl SW / 41.1.1
41.1.2	Atlantic, Southwest / 41.1.2	Atl SW / 41.1.2	Atl SW / 41.1.2
41.1.3	Atlantic, Southwest / 41.1.3	Atl SW / 41.1.3	Atl SW / 41.1.3
41.1.4	Atlantic, Southwest / 41.1.4	Atl SW / 41.1.4	Atl SW / 41.1.4
41.2	Atlantic, Southwest / 41.2	Atl SW / 41.2	Atl SW / 41.2
41.2.1	Atlantic, Southwest / 41.2.1	Atl SW / 41.2.1	Atl SW / 41.2.1
41.2.2	Atlantic, Southwest / 41.2.2	Atl SW / 41.2.2	Atl SW / 41.2.2
41.2.3	Atlantic, Southwest / 41.2.3	Atl SW / 41.2.3	Atl SW / 41.2.3
41.2.4	Atlantic, Southwest / 41.2.4	Atl SW / 41.2.4	Atl SW / 41.2.4
41.3	Atlantic, Southwest / 41.3	Atl SW / 41.3	Atl SW / 41.3
41.3.1	Atlantic, Southwest / 41.3.1	Atl SW / 41.3.1	Atl SW / 41.3.1
41.3.2	Atlantic, Southwest / 41.3.2	Atl SW / 41.3.2	Atl SW / 41.3.2
41.3.3	Atlantic, Southwest / 41.3.3	Atl SW / 41.3.3	Atl SW / 41.3.3
47	Atlantic, Southeast	Atlantique, sud-est	Atlántico, sudoriental
47.1	Western coastal subarea	Sous-zone côtière occidentale	Subárea costera occidental
47.1.1	Cape Palmeirinhas	Cap Palmeirinhas	Cabo Palmeirinhas
47.1.2	Cape Salinas	Cap Salinas	Cabo Salinas
47.1.3	Cunene	Cunène	Cunene
47.1.4	Cape Cross	Cap Cross	Cabo Cross
